benchmark,month,sota
bool_q,2022-11-01,0.887
bool_q,2022-12-01,0.887
bool_q,2023-01-01,0.887
bool_q,2023-02-01,0.887
bool_q,2023-03-01,0.887
bool_q,2023-04-01,0.887
bool_q,2023-05-01,0.909
bool_q,2023-06-01,0.909
bool_q,2023-07-01,0.909
bool_q,2023-08-01,0.909
bool_q,2023-09-01,0.909
bool_q,2023-10-01,0.909
bool_q,2023-11-01,0.909
bool_q,2023-12-01,0.909
bool_q,2024-01-01,0.909
bool_q,2024-02-01,0.909
bool_q,2024-03-01,0.909
bool_q,2024-04-01,0.909
bool_q,2024-05-01,0.909
bool_q,2024-06-01,0.909
bool_q,2024-07-01,0.909
bool_q,2024-08-01,0.909
cad_eval,2024-03-01,0.12
cad_eval,2024-04-01,0.12
cad_eval,2024-05-01,0.12
cad_eval,2024-06-01,0.12
cad_eval,2024-07-01,0.12
cad_eval,2024-08-01,0.26
cad_eval,2024-09-01,0.34
cad_eval,2024-10-01,0.48
cad_eval,2024-11-01,0.48
cad_eval,2024-12-01,0.56
cad_eval,2025-01-01,0.56
cad_eval,2025-02-01,0.56
cad_eval,2025-03-01,0.64
cad_eval,2025-04-01,0.74
chess_puzzles,2025-01-01,0.17
chess_puzzles,2025-02-01,0.17
chess_puzzles,2025-03-01,0.17
chess_puzzles,2025-04-01,0.26
chess_puzzles,2025-05-01,0.26
chess_puzzles,2025-06-01,0.26
chess_puzzles,2025-07-01,0.28
chess_puzzles,2025-08-01,0.37
chess_puzzles,2025-09-01,0.37
chess_puzzles,2025-10-01,0.37
chess_puzzles,2025-11-01,0.37
chess_puzzles,2025-12-01,0.49
chess_puzzles,2026-01-01,0.49
chess_puzzles,2026-02-01,0.55
chess_puzzles,2026-03-01,0.586
chess_puzzles,2026-04-01,0.64
chess_puzzles,2026-05-01,0.64
chess_puzzles,2026-06-01,0.64
chess_puzzles,2026-07-01,0.64
cl_bench,2025-04-01,0.178
cl_bench,2025-05-01,0.178
cl_bench,2025-06-01,0.178
cl_bench,2025-07-01,0.178
cl_bench,2025-08-01,0.178
cl_bench,2025-09-01,0.178
cl_bench,2025-10-01,0.178
cl_bench,2025-11-01,0.237
cl_bench,2025-12-01,0.237
cl_bench,2026-01-01,0.237
cl_bench,2026-02-01,0.237
cl_bench,2026-03-01,0.279
cl_bench_life,2025-09-01,0.095
cl_bench_life,2025-10-01,0.095
cl_bench_life,2025-11-01,0.173
cl_bench_life,2025-12-01,0.173
cl_bench_life,2026-01-01,0.173
cl_bench_life,2026-02-01,0.173
cl_bench_life,2026-03-01,0.217
cl_bench_life,2026-04-01,0.222
common_sense_qa_2,2022-01-01,0.529
common_sense_qa_2,2022-02-01,0.529
common_sense_qa_2,2022-03-01,0.529
common_sense_qa_2,2022-04-01,0.529
common_sense_qa_2,2022-05-01,0.529
common_sense_qa_2,2022-06-01,0.529
common_sense_qa_2,2022-07-01,0.529
common_sense_qa_2,2022-08-01,0.529
common_sense_qa_2,2022-09-01,0.529
common_sense_qa_2,2022-10-01,0.529
common_sense_qa_2,2022-11-01,0.529
common_sense_qa_2,2022-12-01,0.529
common_sense_qa_2,2023-01-01,0.529
common_sense_qa_2,2023-02-01,0.529
common_sense_qa_2,2023-03-01,0.529
common_sense_qa_2,2023-04-01,0.529
common_sense_qa_2,2023-05-01,0.529
common_sense_qa_2,2023-06-01,0.57
common_sense_qa_2,2023-07-01,0.57
critpt,2024-07-01,0.0
critpt,2024-08-01,0.0
critpt,2024-09-01,0.0
critpt,2024-10-01,0.0
critpt,2024-11-01,0.0
critpt,2024-12-01,0.0
critpt,2025-01-01,0.011
critpt,2025-02-01,0.011
critpt,2025-03-01,0.011
critpt,2025-04-01,0.0139999999999999
critpt,2025-05-01,0.0139999999999999
critpt,2025-06-01,0.02
critpt,2025-07-01,0.02
critpt,2025-08-01,0.126
critpt,2025-09-01,0.126
critpt,2025-10-01,0.126
critpt,2025-11-01,0.126
critpt,2025-12-01,0.126
critpt,2026-01-01,0.126
critpt,2026-02-01,0.257142857142857
critpt,2026-03-01,0.3
critpt,2026-04-01,0.305714285714286
critpt,2026-05-01,0.305714285714286
critpt,2026-06-01,0.305714285714286
critpt,2026-07-01,0.323
cybench,2024-02-01,0.1
cybench,2024-03-01,0.1
cybench,2024-04-01,0.1
cybench,2024-05-01,0.1
cybench,2024-06-01,0.175
cybench,2024-07-01,0.175
cybench,2024-08-01,0.175
cybench,2024-09-01,0.175
cybench,2024-10-01,0.175
cybench,2024-11-01,0.175
cybench,2024-12-01,0.175
cybench,2025-01-01,0.225
cybench,2025-02-01,0.225
cybench,2025-03-01,0.225
cybench,2025-04-01,0.225
cybench,2025-05-01,0.38
cybench,2025-06-01,0.38
cybench,2025-07-01,0.43
cybench,2025-08-01,0.43
cybench,2025-09-01,0.6
cybench,2025-10-01,0.6
cybench,2025-11-01,0.82
cybench,2025-12-01,0.82
cybench,2026-01-01,0.82
cybench,2026-02-01,0.93
exploitbench,2025-10-01,0.14
exploitbench,2025-11-01,0.14
exploitbench,2025-12-01,0.14
exploitbench,2026-01-01,0.14
exploitbench,2026-02-01,0.26
exploitbench,2026-03-01,0.26
exploitbench,2026-04-01,0.41
fictionlivebench,2024-12-01,0.531
fictionlivebench,2025-01-01,0.656
fictionlivebench,2025-02-01,0.656
fictionlivebench,2025-03-01,0.906
fictionlivebench,2025-04-01,1.0
fictionlivebench,2025-05-01,1.0
fictionlivebench,2025-06-01,1.0
fictionlivebench,2025-07-01,1.0
fictionlivebench,2025-08-01,1.0
fictionlivebench,2025-09-01,1.0
fictionlivebench,2025-10-01,1.0
fictionlivebench,2025-11-01,1.0
fictionlivebench,2025-12-01,1.0
fictionlivebench,2026-01-01,1.0
frontiercode,2026-01-01,0.01
frontiercode,2026-02-01,0.0467
frontiercode,2026-03-01,0.0467
frontiercode,2026-04-01,0.0631
frontiercode,2026-05-01,0.1342
frontiermath,2024-06-01,0.0103448275862068
frontiermath,2024-07-01,0.0103448275862068
frontiermath,2024-08-01,0.0103448275862068
frontiermath,2024-09-01,0.0172413793103448
frontiermath,2024-10-01,0.0206896551724137
frontiermath,2024-11-01,0.0206896551724137
frontiermath,2024-12-01,0.093103448275862
frontiermath,2025-01-01,0.1241379310344827
frontiermath,2025-02-01,0.1241379310344827
frontiermath,2025-03-01,0.1241379310344827
frontiermath,2025-04-01,0.2482758620689655
frontiermath,2025-05-01,0.2482758620689655
frontiermath,2025-06-01,0.2482758620689655
frontiermath,2025-07-01,0.2482758620689655
frontiermath,2025-08-01,0.3241379310344827
frontiermath,2025-09-01,0.3241379310344827
frontiermath,2025-10-01,0.3241379310344827
frontiermath,2025-11-01,0.376
frontiermath,2025-12-01,0.407
frontiermath,2026-01-01,0.407
frontiermath,2026-02-01,0.407
frontiermath,2026-03-01,0.5
frontiermath,2026-04-01,0.524
frontiermath,2026-05-01,0.524
frontiermath_tier_4,2024-06-01,0.0
frontiermath_tier_4,2024-07-01,0.0
frontiermath_tier_4,2024-08-01,0.0
frontiermath_tier_4,2024-09-01,0.0
frontiermath_tier_4,2024-10-01,0.0
frontiermath_tier_4,2024-11-01,0.0
frontiermath_tier_4,2024-12-01,0.0
frontiermath_tier_4,2025-01-01,0.0416666666666666
frontiermath_tier_4,2025-02-01,0.0416666666666666
frontiermath_tier_4,2025-03-01,0.0416666666666666
frontiermath_tier_4,2025-04-01,0.0625
frontiermath_tier_4,2025-05-01,0.0625
frontiermath_tier_4,2025-06-01,0.0625
frontiermath_tier_4,2025-07-01,0.0625
frontiermath_tier_4,2025-08-01,0.125
frontiermath_tier_4,2025-09-01,0.125
frontiermath_tier_4,2025-10-01,0.146
frontiermath_tier_4,2025-11-01,0.1875
frontiermath_tier_4,2025-12-01,0.313
frontiermath_tier_4,2026-01-01,0.313
frontiermath_tier_4,2026-02-01,0.313
frontiermath_tier_4,2026-03-01,0.375
frontiermath_tier_4,2026-04-01,0.396
frontiermath_tier_4,2026-05-01,0.479
gbaeval,2026-02-01,0.4875663483204475
gbaeval,2026-03-01,0.4875663483204475
gbaeval,2026-04-01,0.5322037178151383
gbaeval,2026-05-01,0.7090450062635527
gbaeval,2026-06-01,0.7447198828312318
gdp_pdf,2025-12-01,0.1
gdp_pdf,2026-01-01,0.1
gdp_pdf,2026-02-01,0.17
gdp_pdf,2026-03-01,0.17
gdp_pdf,2026-04-01,0.25
gdp_pdf,2026-05-01,0.25
gdp_pdf,2026-06-01,0.3
gdpval,2024-11-01,0.099
gdpval,2024-12-01,0.099
gdpval,2025-01-01,0.099
gdpval,2025-02-01,0.099
gdpval,2025-03-01,0.099
gdpval,2025-04-01,0.308
gdpval,2025-05-01,0.308
gdpval,2025-06-01,0.308
gdpval,2025-07-01,0.308
gdpval,2025-08-01,0.436
gdpval,2025-09-01,0.436
gdpval,2025-10-01,0.436
gdpval,2025-11-01,0.455
gdpval,2025-12-01,0.497
gpqa_diamond,2023-03-01,0.3573232323232323
gpqa_diamond,2023-04-01,0.3573232323232323
gpqa_diamond,2023-05-01,0.3573232323232323
gpqa_diamond,2023-06-01,0.3573232323232323
gpqa_diamond,2023-07-01,0.3573232323232323
gpqa_diamond,2023-08-01,0.3573232323232323
gpqa_diamond,2023-09-01,0.3573232323232323
gpqa_diamond,2023-10-01,0.3573232323232323
gpqa_diamond,2023-11-01,0.4236111111111111
gpqa_diamond,2023-12-01,0.4236111111111111
gpqa_diamond,2024-01-01,0.4236111111111111
gpqa_diamond,2024-02-01,0.4715909090909091
gpqa_diamond,2024-03-01,0.4715909090909091
gpqa_diamond,2024-04-01,0.4715909090909091
gpqa_diamond,2024-05-01,0.4889520202020202
gpqa_diamond,2024-06-01,0.5404040404040404
gpqa_diamond,2024-07-01,0.5404040404040404
gpqa_diamond,2024-08-01,0.5404040404040404
gpqa_diamond,2024-09-01,0.6237373737373737
gpqa_diamond,2024-10-01,0.6237373737373737
gpqa_diamond,2024-11-01,0.6237373737373737
gpqa_diamond,2024-12-01,0.7676767676767676
gpqa_diamond,2025-01-01,0.7702020202020202
gpqa_diamond,2025-02-01,0.7850378787878788
gpqa_diamond,2025-03-01,0.8383838383838383
gpqa_diamond,2025-04-01,0.8383838383838383
gpqa_diamond,2025-05-01,0.8383838383838383
gpqa_diamond,2025-06-01,0.8529040404040404
gpqa_diamond,2025-07-01,0.87
gpqa_diamond,2025-08-01,0.87
gpqa_diamond,2025-09-01,0.87
gpqa_diamond,2025-10-01,0.87
gpqa_diamond,2025-11-01,0.9261363636363636
gpqa_diamond,2025-12-01,0.9261363636363636
gpqa_diamond,2026-01-01,0.9261363636363636
gpqa_diamond,2026-02-01,0.941
gpqa_diamond,2026-03-01,0.946
gpqa_diamond,2026-04-01,0.946
gpqa_diamond,2026-05-01,0.946
gpqa_diamond,2026-06-01,0.946
gpqa_diamond,2026-07-01,0.946
gsm8k,2020-06-01,0.007
gsm8k,2020-07-01,0.007
gsm8k,2020-08-01,0.007
gsm8k,2020-09-01,0.007
gsm8k,2020-10-01,0.007
gsm8k,2020-11-01,0.007
gsm8k,2020-12-01,0.007
gsm8k,2021-01-01,0.007
gsm8k,2021-02-01,0.007
gsm8k,2021-03-01,0.007
gsm8k,2021-04-01,0.007
gsm8k,2021-05-01,0.007
gsm8k,2021-06-01,0.007
gsm8k,2021-07-01,0.007
gsm8k,2021-08-01,0.007
gsm8k,2021-09-01,0.007
gsm8k,2021-10-01,0.007
gsm8k,2021-11-01,0.007
gsm8k,2021-12-01,0.007
gsm8k,2022-01-01,0.007
gsm8k,2022-02-01,0.007
gsm8k,2022-03-01,0.568
gsm8k,2022-04-01,0.568
gsm8k,2022-05-01,0.568
gsm8k,2022-06-01,0.568
gsm8k,2022-07-01,0.568
gsm8k,2022-08-01,0.568
gsm8k,2022-09-01,0.568
gsm8k,2022-10-01,0.568
gsm8k,2022-11-01,0.782
gsm8k,2022-12-01,0.782
gsm8k,2023-01-01,0.782
gsm8k,2023-02-01,0.782
gsm8k,2023-03-01,0.92
gsm8k,2023-04-01,0.92
gsm8k,2023-05-01,0.92
gsm8k,2023-06-01,0.92
gsm8k,2023-07-01,0.92
gsm8k,2023-08-01,0.92
gsm8k,2023-09-01,0.92
gsm8k,2023-10-01,0.92
gsm8k,2023-11-01,0.92
gsm8k,2023-12-01,0.92
gsm8k,2024-01-01,0.92
gsm8k,2024-02-01,0.92
gsm8k,2024-03-01,0.92
gsm8k,2024-04-01,0.92
gsm8k,2024-05-01,0.92
gsm8k,2024-06-01,0.945
gsm8k,2024-07-01,0.945
gsm8k,2024-08-01,0.945
gsm8k,2024-09-01,0.945
gsm8k,2024-10-01,0.945
gsm8k,2024-11-01,0.945
gso,2024-10-01,0.046
gso,2024-11-01,0.046
gso,2024-12-01,0.046
gso,2025-01-01,0.046
gso,2025-02-01,0.046
gso,2025-03-01,0.046
gso,2025-04-01,0.088
gso,2025-05-01,0.088
gso,2025-06-01,0.088
gso,2025-07-01,0.088
gso,2025-08-01,0.088
gso,2025-09-01,0.1471
gso,2025-10-01,0.1471
gso,2025-11-01,0.265
gso,2025-12-01,0.274
gso,2026-01-01,0.274
gso,2026-02-01,0.412
gso,2026-03-01,0.412
gso,2026-04-01,0.4412
hella_swag,2019-11-01,0.4
hella_swag,2019-12-01,0.4
hella_swag,2020-01-01,0.4
hella_swag,2020-02-01,0.4
hella_swag,2020-03-01,0.4
hella_swag,2020-04-01,0.4
hella_swag,2020-05-01,0.4
hella_swag,2020-06-01,0.555
hella_swag,2020-07-01,0.555
hella_swag,2020-08-01,0.555
hella_swag,2020-09-01,0.555
hella_swag,2020-10-01,0.555
hella_swag,2020-11-01,0.555
hella_swag,2020-12-01,0.555
hella_swag,2021-01-01,0.555
hella_swag,2021-02-01,0.555
hella_swag,2021-03-01,0.555
hella_swag,2021-04-01,0.555
hella_swag,2021-05-01,0.555
hella_swag,2021-06-01,0.555
hella_swag,2021-07-01,0.555
hella_swag,2021-08-01,0.662
hella_swag,2021-09-01,0.662
hella_swag,2021-10-01,0.662
hella_swag,2021-11-01,0.662
hella_swag,2021-12-01,0.792
hella_swag,2022-01-01,0.824
hella_swag,2022-02-01,0.824
hella_swag,2022-03-01,0.824
hella_swag,2022-04-01,0.838
hella_swag,2022-05-01,0.838
hella_swag,2022-06-01,0.838
hella_swag,2022-07-01,0.838
hella_swag,2022-08-01,0.838
hella_swag,2022-09-01,0.838
hella_swag,2022-10-01,0.838
hella_swag,2022-11-01,0.855
hella_swag,2022-12-01,0.855
hella_swag,2023-01-01,0.855
hella_swag,2023-02-01,0.855
hella_swag,2023-03-01,0.953
hella_swag,2023-04-01,0.953
hella_swag,2023-05-01,0.953
hella_swag,2023-06-01,0.953
hella_swag,2023-07-01,0.953
hella_swag,2023-08-01,0.953
hella_swag,2023-09-01,0.953
hella_swag,2023-10-01,0.953
hella_swag,2023-11-01,0.953
hella_swag,2023-12-01,0.953
hella_swag,2024-01-01,0.953
hella_swag,2024-02-01,0.953
hella_swag,2024-03-01,0.953
hella_swag,2024-04-01,0.953
hella_swag,2024-05-01,0.953
hella_swag,2024-06-01,0.953
hella_swag,2024-07-01,0.953
hella_swag,2024-08-01,0.953
hella_swag,2024-09-01,0.953
hella_swag,2024-10-01,0.953
hella_swag,2024-11-01,0.953
hella_swag,2024-12-01,0.953
hle,2024-09-01,0.046
hle,2024-10-01,0.046
hle,2024-11-01,0.046
hle,2024-12-01,0.0796
hle,2025-01-01,0.0796
hle,2025-02-01,0.0804
hle,2025-03-01,0.1816
hle,2025-04-01,0.2032
hle,2025-05-01,0.2032
